Timestamp,Presentation title,Presentation summary (abstract) to be displayed on the website,More details on your Presentation,Previous talks,Do you require childcare?,Do you have any food allergies or catering preferences?,Anything you may need from us during your visit?,Your name,Short bio,Email address,Preferred pronoun,Twitter,Github,Your website or blog URL,Country and city from where you would travel to Budapest,A picture of you,My company / employer can pay my trip to the conference,Company Name,Code of Conduct,Privacy policy
2019-05-01T20:22:26+02:00,Magnam id,In velit et et nam itaque vel iure molestiae. Illum sed omnis est sed. Ut velit explicabo accusantium itaque distinctio quis at.,Vel occaecati ut. Totam esse voluptas sapiente eum consequuntur. Et similique eos reiciendis suscipit exercitationem. Ut aut quisquam vitae incidunt blanditiis veritatis aut. Necessitatibus est velit animi.,,yes,,,Bennie Carroll,Fully-configurable value-added neural-net,Wisoky_Velda@Sterling.info,,,,,"West Frida, Russian Federation",,yes,Pacocha Group,I've read and agree with the Code of Conduct,I consent to use my personal data according to the Privacy Policy
2019-05-01T21:22:26+02:00,Omnis excepturi,Delectus modi natus alias fugiat aut temporibus exercitationem sit. Molestiae libero ullam. Dolorum similique saepe dolor id iure.,Beatae quae quis vel minima nostrum qui iusto. Culpa molestiae incidunt amet ut nemo repudiandae. Voluptatem debitis quo ea sed placeat quia reprehenderit ipsa. Voluptatem qui et est necessitatibus voluptatem enim qui voluptatem consequatur. Aliquid est nihil quia eligendi possimus assumenda nobis laborum.,,"no, thank you",,,Mack Herzog,Total didactic function,Reichert_Mckayla@hotmail.com,,,,,"New Margarett, New Caledonia",,no,Roob LLC,I've read and agree with the Code of Conduct,I consent to use my personal data according to the Privacy Policy
2019-05-01T22:22:26+02:00,Suscipit fugiat non,Commodi sit est quod odit blanditiis ratione sed aliquid. Autem sit accusantium cum omnis ab incidunt non dolores ut. Tempore necessitatibus aut.,Provident et aut minus ad voluptatem. Reiciendis occaecati incidunt ut sit nostrum corporis quod ullam distinctio. Tempore voluptates dolores quas nesciunt itaque. Assumenda et qui voluptatibus harum. Quo molestias porro quae et molestiae expedita recusandae.,,"no, thank you",,,Frederique Kessler,Visionary contextually-based capacity,Lloyd_Ortiz@yahoo.com,,,,,"North Jabari, Guatemala",,no,Cormier and Sons,I've read and agree with the Code of Conduct,I consent to use my personal data according to the Privacy Policy
2019-05-01T23:22:26+02:00,Amet accusantium quas,Molestias quia in officia repellat et. Rerum ex voluptatibus aut assumenda ullam qui blanditiis. Nam voluptates quod consequatur eius.,Ipsum facere perspiciatis vitae pariatur. A eaque et dolorum eius ipsam fuga. Sed rerum reprehenderit. Et aliquam libero minus sed qui tempore. Veritatis est ut accusamus quo commodi.,,"no, thank you",,,Josue Senger,Reverse-engineered national architecture,Abshire_Dorthy@Jacobi.org,,,,,"Kertzmannfort, Ecuador",,no,Hand Group,I've read and agree with the Code of Conduct,I consent to use my personal data according to the Privacy Policy
2019-05-02T00:22:26+02:00,Sed provident,Eius rerum ex labore. Possimus et qui mollitia temporibus. Et provident nostrum enim consectetur quasi.,Nihil debitis molestiae accusantium repellendus. Omnis tenetur sed et illum architecto qui. Harum doloremque rerum tenetur perspiciatis velit et. Unde aperiam ut quos amet et et. Est vero sequi placeat voluptas.,,yes,,,Carmelo Borer,Reduced homogeneous implementation,Palma_Denesik@Skiles.io,,,,,"West Dorian, El Salvador",,yes,Leffler Inc,I've read and agree with the Code of Conduct,I consent to use my personal data according to the Privacy Policy
2019-05-02T01:22:26+02:00,Error aut,Consectetur eius qui veniam iste. Rerum nam ullam fugiat labore sed eligendi consequuntur sunt. Pariatur blanditiis quis illo delectus autem dolor vel.,Eius et optio quaerat voluptatem sed eligendi maiores quia. Sit voluptas labore ut. Neque corrupti rem temporibus nemo molestias sed. Ut commodi sit adipisci. Vero illum quidem molestiae et unde optio excepturi.,,yes,,,Pattie Lehner,Multi-lateral coherent frame,Gavin.Lebsack@hotmail.com,,,,,"Powlowskifort, Vanuatu",,no,Greenholt Group,I've read and agree with the Code of Conduct,I consent to use my personal data according to the Privacy Policy
2019-05-02T02:22:26+02:00,Qui voluptas hic,Itaque commodi omnis consequatur voluptates illo natus. Voluptas quod sit et voluptas vero recusandae facere enim alias. Autem dolor sint in voluptatem doloremque.,Animi voluptas id nam. Quos mollitia dignissimos rerum doloribus vel. Quo sequi ipsum consequatur corporis. Sed architecto at ab ex voluptatem. Dolorum ducimus odit velit est autem ad.,,"no, thank you",,,Bette Blick,Re-contextualized real-time analyzer,Kobe.Muller@Carleton.net,,,,,"Fayestad, Iraq",,yes,Shanahan PLC,I've read and agree with the Code of Conduct,I consent to use my personal data according to the Privacy Policy
2019-05-02T03:22:26+02:00,Eveniet non nostrum,Distinctio est et harum delectus et veritatis. Sit omnis maiores reiciendis pariatur exercitationem. Perferendis vel optio ut.,Sint magni rerum est temporibus et animi. Quibusdam animi nobis. Reprehenderit vel aut et. Et ipsum velit porro perferendis dicta velit aperiam. Velit magni debitis.,,"no, thank you",,,Alfred Hermiston,Secured analyzing knowledgeuser,Streich_Nellie@gmail.com,,,,,"New Kassandra, Gibraltar",,yes,Quigley LLC,I've read and agree with the Code of Conduct,I consent to use my personal data according to the Privacy Policy
2019-05-02T04:22:26+02:00,Hic asperiores iste,Rerum quisquam officiis ut porro commodi. Inventore eos nihil. Optio ipsam illo aspernatur earum a voluptas doloribus.,Provident nemo vel culpa. Quo quis sed optio error rem qui quaerat hic. Deserunt at ut ad sunt saepe fugiat. Qui voluptates et aut a sint. Placeat voluptatibus inventore.,,"no, thank you",,,Owen Mitchell,Right-sized tangible framework,Ford.Hirthe@gmail.com,,,,,"Lorinefort, Wallis and Futuna",,no,Feeney Ltd,I've read and agree with the Code of Conduct,I consent to use my personal data according to the Privacy Policy
2019-05-02T05:22:26+02:00,Voluptates mollitia,Non dicta laborum similique. Debitis illum ut adipisci. Aut soluta accusamus voluptatum tenetur.,At voluptatem et. Velit non consequatur ad voluptates et tempora. Et ea pariatur aut voluptatum numquam dicta in cupiditate autem. Quo in sed voluptatem. Molestiae ut beatae saepe ipsa.,,"no, thank you",,,Buford Mitchell,Triple-buffered disintermediate functionalities,Trycia_Murphy@hotmail.com,,,,,"South Reilly, Wallis and Futuna",,no,Rempel PLC,I've read and agree with the Code of Conduct,I consent to use my personal data according to the Privacy Policy
2019-05-02T06:22:26+02:00,Est cupiditate,Ea optio qui. Omnis sint ex consequatur sed. Ut voluptatem error modi facilis iusto eaque.,Incidunt nostrum quia officiis placeat et qui vel. Sint sit voluptatem in. Illo atque sit ut nesciunt quod consequatur possimus repellendus maxime. Incidunt et consectetur assumenda dolores impedit animi est corrupti cumque. Tenetur et nihil rerum harum et nobis quibusdam aperiam et.,,yes,,,Charley DuBuque,Reduced context-sensitive methodology,Ewald_West@yahoo.com,,,,,"New Consuelo, Chile",,no,West Ltd,I've read and agree with the Code of Conduct,I consent to use my personal data according to the Privacy Policy
2019-05-02T07:22:26+02:00,Voluptates omnis,Saepe doloribus quidem. Ea magnam perferendis nemo qui est voluptatibus consectetur amet. Sequi quia rerum atque pariatur ea culpa omnis nisi.,Beatae nam ullam impedit. Fugiat recusandae animi pariatur rerum aut. Et repellendus ut maiores maiores nisi. Rem quia voluptatem voluptatum dolores. Consectetur mollitia suscipit.,,"no, thank you",,,Holden Jerde,Multi-channelled intangible circuit,Tobin_Ryan@yahoo.com,,,,,"Marcelinaburgh, Seychelles",,no,Greenfelder and Sons,I've read and agree with the Code of Conduct,I consent to use my personal data according to the Privacy Policy
2019-05-02T08:22:26+02:00,Modi repellat non,Voluptatem autem enim eligendi enim doloribus. Earum dolorem magni et voluptatibus ut quisquam eaque iure. Pariatur quae doloribus.,Beatae sequi officia exercitationem sunt non. Aliquam dolores animi dignissimos natus ullam. Natus unde quia consequatur esse. Eveniet delectus rerum aut saepe tempora. Atque vitae sunt totam cupiditate possimus molestias ab tempore.,,yes,,,Edmond Haag,Quality-focused assymetric strategy,Fredrick.Schimmel@gmail.com,,,,,"East Donavonbury, Isle of Man",,yes,Cole Group,I've read and agree with the Code of Conduct,I consent to use my personal data according to the Privacy Policy
2019-05-02T09:22:26+02:00,Velit dolorem,Aliquam sit voluptatem animi id incidunt eos ad possimus. Aut molestiae dolores debitis quia magnam est vel. Et ab accusantium iusto cupiditate et adipisci architecto.,Est ut ut enim aliquid quo eum consectetur dolore. Ex qui fugit ipsam. Sit sed qui provident. Et sed atque autem. Magni temporibus nihil velit aliquam et.,,"no, thank you",,,Odessa Hills,Centralized eco-centric challenge,Ismael.Hilpert@Leonard.ca,,,,,"Port Keira, British Indian Ocean Territory (Chagos Archipelago)",,no,Paucek PLC,I've read and agree with the Code of Conduct,I consent to use my personal data according to the Privacy Policy
